id,category,category_label,asset_kind,source_deck_name,source_deck,source_slide,source_shape_id,source_shape_name,shape_type,auto_shape_type,width,height,rotation,occurrences,preview,asset_png,keywords
icon-0037,icons,图标,picture,party-semantic-editable.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\semantic-rebuild-v9\party-semantic-editable.pptx,1,34,Image 5,13,1,65.4,61.2,0.0,1,previews/icon-0037.png,assets/png/icon-0037.png,image|5|preencoded.png|party|semantic|editable.pptx
icon-0038,icons,图标,picture,rebuilt-slide-01.pptx,C:\Users\LENOVO\Documents\seconddevPPT\reference\knight-imagetopptx-skill\assets\rebuilt-slide-01.pptx,1,36,Picture 35,13,1,60.146,60.146,0.0,1,previews/icon-0038.png,assets/png/icon-0038.png,picture|35|broom.png|rebuilt|slide|01.pptx
icon-0039,icons,图标,picture,rebuilt-slide-02.pptx,C:\Users\LENOVO\Documents\seconddevPPT\reference\knight-imagetopptx-skill\assets\rebuilt-slide-02.pptx,1,15,Picture 14,13,1,72.209,72.209,0.0,1,previews/icon-0039.png,assets/png/icon-0039.png,picture|14|step|folder.png|rebuilt|slide|02.pptx
icon-0040,icons,图标,picture,rebuilt-slide-02.pptx,C:\Users\LENOVO\Documents\seconddevPPT\reference\knight-imagetopptx-skill\assets\rebuilt-slide-02.pptx,1,67,Picture 66,13,1,36.22,36.22,0.0,1,previews/icon-0040.png,assets/png/icon-0040.png,picture|66|role|clipboard.png|rebuilt|slide|02.pptx
icon-0041,icons,图标,picture,rebuilt-slide-01.pptx,C:\Users\LENOVO\Documents\seconddevPPT\reference\knight-imagetopptx-skill\assets\rebuilt-slide-01.pptx,1,164,Picture 163,13,1,25.223,25.223,0.0,1,previews/icon-0041.png,assets/png/icon-0041.png,picture|163|bars.png|rebuilt|slide|01.pptx
icon-0042,icons,图标,picture,party-semantic-editable.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\semantic-rebuild-v9\party-semantic-editable.pptx,1,32,Image 3,13,1,75.0,58.8,0.0,1,previews/icon-0042.png,assets/png/icon-0042.png,image|3|preencoded.png|party|semantic|editable.pptx
icon-0043,icons,图标,picture,rebuilt-slide-01.pptx,C:\Users\LENOVO\Documents\seconddevPPT\reference\knight-imagetopptx-skill\assets\rebuilt-slide-01.pptx,1,60,Picture 59,13,1,60.146,60.146,0.0,1,previews/icon-0043.png,assets/png/icon-0043.png,picture|59|person|loop.png|rebuilt|slide|01.pptx
icon-0044,icons,图标,picture,rebuilt-slide-01.pptx,C:\Users\LENOVO\Documents\seconddevPPT\reference\knight-imagetopptx-skill\assets\rebuilt-slide-01.pptx,1,18,Picture 17,13,1,56.266,56.266,0.0,1,previews/icon-0044.png,assets/png/icon-0044.png,picture|17|document.png|rebuilt|slide|01.pptx
icon-0045,icons,图标,picture,rebuilt-slide-02.pptx,C:\Users\LENOVO\Documents\seconddevPPT\reference\knight-imagetopptx-skill\assets\rebuilt-slide-02.pptx,1,41,Picture 40,13,1,56.741,56.741,0.0,1,previews/icon-0045.png,assets/png/icon-0045.png,picture|40|bad|cross.png|rebuilt|slide|02.pptx
icon-0046,icons,图标,picture,rebuilt-slide-01.pptx,C:\Users\LENOVO\Documents\seconddevPPT\reference\knight-imagetopptx-skill\assets\rebuilt-slide-01.pptx,1,22,Picture 21,13,1,56.266,56.266,0.0,1,previews/icon-0046.png,assets/png/icon-0046.png,picture|21|grid.png|rebuilt|slide|01.pptx
